Epoch: 0 Step 0 	Learning rate: 0.100000
Epoch: [0][0/125353]	Time: 2.207 (2.207)	Epoch time [hr]: 0.001 (76.862)	Memory: 9.501 (9.601)	Loss: 11.0295 (11.0295)	Prec@1: 0.000 (0.000)	Prec@5: 0.012 (0.012)
Epoch: [0][10/125353]	Time: 0.520 (0.680)	Epoch time [hr]: 0.002 (23.678)	Memory: 10.816 (14.959)	Loss: 44.0531 (17.2446)	Prec@1: 15.991 (9.383)	Prec@5: 31.348 (26.100)
Epoch: [0][20/125353]	Time: 0.520 (0.604)	Epoch time [hr]: 0.004 (21.033)	Memory: 10.816 (14.959)	Loss: 35.1728 (30.4177)	Prec@1: 15.503 (8.298)	Prec@5: 27.771 (23.855)
Epoch: [0][30/125353]	Time: 0.518 (0.577)	Epoch time [hr]: 0.005 (20.088)	Memory: 10.816 (14.959)	Loss: 26.3992 (28.8268)	Prec@1: 15.210 (7.415)	Prec@5: 25.562 (22.265)
Epoch: [0][40/125353]	Time: 0.519 (0.563)	Epoch time [hr]: 0.006 (19.599)	Memory: 10.816 (14.959)	Loss: 30.9517 (28.4992)	Prec@1: 1.355 (7.355)	Prec@5: 10.071 (21.268)
Epoch: [0][50/125353]	Time: 0.522 (0.555)	Epoch time [hr]: 0.008 (19.315)	Memory: 10.816 (14.959)	Loss: 16.6556 (26.7799)	Prec@1: 3.687 (6.824)	Prec@5: 25.525 (20.780)
Epoch: [0][60/125353]	Time: 0.520 (0.549)	Epoch time [hr]: 0.009 (19.121)	Memory: 10.816 (14.959)	Loss: 17.9533 (26.6913)	Prec@1: 15.405 (6.644)	Prec@5: 23.596 (19.902)
Epoch: [0][70/125353]	Time: 0.522 (0.545)	Epoch time [hr]: 0.011 (18.983)	Memory: 10.816 (14.959)	Loss: 18.8931 (26.4242)	Prec@1: 4.102 (6.507)	Prec@5: 13.062 (19.580)
Epoch: [0][80/125353]	Time: 0.521 (0.542)	Epoch time [hr]: 0.012 (18.879)	Memory: 10.816 (14.959)	Loss: 11.6419 (25.5489)	Prec@1: 4.590 (6.504)	Prec@5: 8.472 (19.222)
Epoch: [0][90/125353]	Time: 0.521 (0.540)	Epoch time [hr]: 0.014 (18.807)	Memory: 10.816 (14.959)	Loss: 10.2540 (23.9109)	Prec@1: 15.576 (6.835)	Prec@5: 23.291 (20.620)
Epoch: 0 Step 100 	Learning rate: 0.100000
Epoch: [0][100/125353]	Time: 0.521 (0.538)	Epoch time [hr]: 0.015 (18.739)	Memory: 10.816 (14.959)	Loss: 8.1928 (22.4225)	Prec@1: 15.454 (6.813)	Prec@5: 35.974 (21.521)
