Epoch: 0 Step 0 	Learning rate: 0.100000
Epoch: [0][0/125353]	Time: 2.261 (2.261)	Epoch time [hr]: 0.001 (78.722)	Memory: 9.501 (9.601)	Loss: 11.0381 (11.0381)	Prec@1: 0.000 (0.000)	Prec@5: 0.000 (0.000)
Epoch: [0][10/125353]	Time: 0.533 (0.704)	Epoch time [hr]: 0.002 (24.511)	Memory: 11.469 (16.607)	Loss: 51.6717 (35.8981)	Prec@1: 0.000 (6.220)	Prec@5: 6.702 (14.388)
Epoch: [0][20/125353]	Time: 0.534 (0.622)	Epoch time [hr]: 0.004 (21.646)	Memory: 11.469 (16.607)	Loss: 19.1796 (36.3330)	Prec@1: 4.529 (4.130)	Prec@5: 16.687 (13.238)
Epoch: [0][30/125353]	Time: 0.537 (0.595)	Epoch time [hr]: 0.005 (20.715)	Memory: 11.469 (16.607)	Loss: 11.1016 (28.4316)	Prec@1: 1.184 (4.147)	Prec@5: 17.236 (13.649)
Epoch: [0][40/125353]	Time: 0.539 (0.582)	Epoch time [hr]: 0.007 (20.251)	Memory: 11.469 (16.607)	Loss: 11.8761 (23.9673)	Prec@1: 1.501 (4.373)	Prec@5: 13.098 (14.174)
Epoch: [0][50/125353]	Time: 0.540 (0.573)	Epoch time [hr]: 0.008 (19.968)	Memory: 11.469 (16.607)	Loss: 6.5669 (20.6350)	Prec@1: 6.702 (5.108)	Prec@5: 30.859 (16.875)
Epoch: [0][60/125353]	Time: 0.540 (0.568)	Epoch time [hr]: 0.010 (19.777)	Memory: 11.469 (16.607)	Loss: 4.5660 (18.0102)	Prec@1: 6.274 (5.923)	Prec@5: 29.553 (19.359)
Epoch: [0][70/125353]	Time: 0.540 (0.564)	Epoch time [hr]: 0.011 (19.644)	Memory: 11.469 (16.607)	Loss: 3.4591 (16.0352)	Prec@1: 15.149 (6.939)	Prec@5: 40.210 (22.020)
Epoch: [0][80/125353]	Time: 0.542 (0.562)	Epoch time [hr]: 0.013 (19.560)	Memory: 11.469 (16.607)	Loss: 3.9209 (14.5285)	Prec@1: 12.024 (7.635)	Prec@5: 35.852 (24.099)
Epoch: [0][90/125353]	Time: 0.541 (0.560)	Epoch time [hr]: 0.014 (19.485)	Memory: 11.469 (16.607)	Loss: 3.3484 (13.3482)	Prec@1: 15.710 (8.162)	Prec@5: 42.810 (25.628)
Epoch: 0 Step 100 	Learning rate: 0.100000
Epoch: [0][100/125353]	Time: 0.540 (0.558)	Epoch time [hr]: 0.016 (19.428)	Memory: 11.469 (16.607)	Loss: 3.5478 (12.3795)	Prec@1: 14.148 (8.671)	Prec@5: 39.954 (27.135)
Epoch: [0][110/125353]	Time: 0.539 (0.556)	Epoch time [hr]: 0.017 (19.373)	Memory: 11.469 (16.607)	Loss: 3.4495 (11.5644)	Prec@1: 16.565 (9.292)	Prec@5: 41.040 (28.676)
Epoch: [0][120/125353]	Time: 0.539 (0.555)	Epoch time [hr]: 0.019 (19.325)	Memory: 11.469 (16.607)	Loss: 3.5899 (10.9031)	Prec@1: 15.698 (9.623)	Prec@5: 44.592 (29.777)
Epoch: [0][130/125353]	Time: 0.542 (0.554)	Epoch time [hr]: 0.020 (19.286)	Memory: 11.469 (16.607)	Loss: 5.2687 (10.4052)	Prec@1: 15.173 (9.606)	Prec@5: 35.535 (30.066)
Epoch: [0][140/125353]	Time: 0.541 (0.553)	Epoch time [hr]: 0.022 (19.252)	Memory: 11.469 (16.607)	Loss: 6.9180 (10.2744)	Prec@1: 6.055 (9.470)	Prec@5: 24.219 (29.513)
Epoch: [0][150/125353]	Time: 0.540 (0.552)	Epoch time [hr]: 0.023 (19.222)	Memory: 11.469 (16.607)	Loss: 6.5482 (10.5083)	Prec@1: 6.580 (9.156)	Prec@5: 24.512 (28.929)
Epoch: [0][160/125353]	Time: 0.541 (0.551)	Epoch time [hr]: 0.025 (19.202)	Memory: 11.469 (16.607)	Loss: 4.3779 (10.1999)	Prec@1: 7.788 (9.095)	Prec@5: 31.714 (28.942)
Epoch: [0][170/125353]	Time: 0.540 (0.551)	Epoch time [hr]: 0.026 (19.180)	Memory: 11.469 (16.607)	Loss: 3.5644 (9.8334)	Prec@1: 13.208 (9.251)	Prec@5: 42.615 (29.525)
Epoch: [0][180/125353]	Time: 0.542 (0.550)	Epoch time [hr]: 0.028 (19.161)	Memory: 11.469 (16.607)	Loss: 3.5893 (9.4873)	Prec@1: 15.369 (9.466)	Prec@5: 41.125 (30.240)
Epoch: [0][190/125353]	Time: 0.540 (0.550)	Epoch time [hr]: 0.029 (19.144)	Memory: 11.469 (16.607)	Loss: 3.5378 (9.1715)	Prec@1: 15.173 (9.652)	Prec@5: 43.176 (30.820)
Epoch: 0 Step 200 	Learning rate: 0.100000
Epoch: [0][200/125353]	Time: 0.543 (0.549)	Epoch time [hr]: 0.031 (19.128)	Memory: 11.469 (16.607)	Loss: 3.2691 (8.8803)	Prec@1: 12.268 (9.911)	Prec@5: 44.482 (31.561)
Epoch: [0][210/125353]	Time: 0.540 (0.549)	Epoch time [hr]: 0.032 (19.113)	Memory: 11.469 (16.607)	Loss: 4.6822 (8.6503)	Prec@1: 8.167 (9.980)	Prec@5: 28.223 (31.852)
Epoch: [0][220/125353]	Time: 0.539 (0.549)	Epoch time [hr]: 0.034 (19.099)	Memory: 11.469 (16.607)	Loss: 3.6177 (8.4449)	Prec@1: 8.630 (9.973)	Prec@5: 38.135 (31.887)
Epoch: [0][230/125353]	Time: 0.542 (0.548)	Epoch time [hr]: 0.035 (19.091)	Memory: 11.469 (16.607)	Loss: 3.1967 (8.2164)	Prec@1: 14.026 (10.252)	Prec@5: 46.436 (32.612)
Epoch: [0][240/125353]	Time: 0.539 (0.548)	Epoch time [hr]: 0.037 (19.079)	Memory: 11.469 (16.607)	Loss: 3.1813 (8.0079)	Prec@1: 16.406 (10.523)	Prec@5: 49.243 (33.214)
Epoch: [0][250/125353]	Time: 0.540 (0.548)	Epoch time [hr]: 0.038 (19.068)	Memory: 11.469 (16.607)	Loss: 3.0863 (7.8144)	Prec@1: 18.372 (10.753)	Prec@5: 50.549 (33.819)
Epoch: [0][260/125353]	Time: 0.540 (0.547)	Epoch time [hr]: 0.040 (19.058)	Memory: 11.469 (16.607)	Loss: 3.1551 (7.6374)	Prec@1: 17.786 (10.969)	Prec@5: 48.938 (34.314)
Epoch: [0][270/125353]	Time: 0.540 (0.547)	Epoch time [hr]: 0.041 (19.049)	Memory: 11.469 (16.607)	Loss: 3.2237 (7.4742)	Prec@1: 12.646 (11.117)	Prec@5: 46.082 (34.775)
Epoch: [0][280/125353]	Time: 0.541 (0.547)	Epoch time [hr]: 0.043 (19.040)	Memory: 11.469 (16.607)	Loss: 3.0566 (7.3198)	Prec@1: 19.385 (11.333)	Prec@5: 51.379 (35.314)
Epoch: [0][290/125353]	Time: 0.540 (0.547)	Epoch time [hr]: 0.044 (19.034)	Memory: 11.469 (16.607)	Loss: 3.0028 (7.1736)	Prec@1: 19.617 (11.568)	Prec@5: 52.576 (35.869)
Epoch: 0 Step 300 	Learning rate: 0.100000
Epoch: [0][300/125353]	Time: 0.540 (0.546)	Epoch time [hr]: 0.046 (19.026)	Memory: 11.469 (16.607)	Loss: 3.1146 (7.0379)	Prec@1: 18.616 (11.803)	Prec@5: 50.415 (36.384)
Epoch: [0][310/125353]	Time: 0.539 (0.546)	Epoch time [hr]: 0.047 (19.019)	Memory: 11.469 (16.607)	Loss: 3.2441 (6.9118)	Prec@1: 10.718 (11.958)	Prec@5: 42.493 (36.815)
Epoch: [0][320/125353]	Time: 0.540 (0.546)	Epoch time [hr]: 0.049 (19.012)	Memory: 11.469 (16.607)	Loss: 7.0420 (6.8159)	Prec@1: 6.079 (12.038)	Prec@5: 19.556 (36.951)
Epoch: [0][330/125353]	Time: 0.540 (0.546)	Epoch time [hr]: 0.050 (19.007)	Memory: 11.469 (16.607)	Loss: 23.0842 (7.1769)	Prec@1: 4.602 (11.820)	Prec@5: 20.471 (36.462)
Epoch: [0][340/125353]	Time: 0.540 (0.546)	Epoch time [hr]: 0.052 (19.004)	Memory: 11.469 (16.607)	Loss: 15.7131 (7.5089)	Prec@1: 2.319 (11.650)	Prec@5: 10.144 (35.918)
Epoch: [0][350/125353]	Time: 0.541 (0.546)	Epoch time [hr]: 0.053 (18.998)	Memory: 11.469 (16.607)	Loss: 34.8621 (7.7575)	Prec@1: 0.891 (11.407)	Prec@5: 10.791 (35.458)
Epoch: [0][360/125353]	Time: 0.540 (0.545)	Epoch time [hr]: 0.055 (18.994)	Memory: 11.469 (16.607)	Loss: 16.5291 (8.2116)	Prec@1: 7.227 (11.215)	Prec@5: 23.120 (35.080)
Epoch: [0][370/125353]	Time: 0.540 (0.545)	Epoch time [hr]: 0.056 (18.989)	Memory: 11.469 (16.607)	Loss: 28.3163 (8.6803)	Prec@1: 4.065 (11.014)	Prec@5: 29.797 (34.664)
Epoch: [0][380/125353]	Time: 0.540 (0.545)	Epoch time [hr]: 0.058 (18.984)	Memory: 11.469 (16.607)	Loss: 31.8691 (9.2080)	Prec@1: 6.506 (10.860)	Prec@5: 25.134 (34.254)
Epoch: [0][390/125353]	Time: 0.541 (0.545)	Epoch time [hr]: 0.059 (18.983)	Memory: 11.469 (16.607)	Loss: 31.0983 (9.5844)	Prec@1: 4.529 (10.709)	Prec@5: 19.336 (33.893)
Epoch: 0 Step 400 	Learning rate: 0.100000
Epoch: [0][400/125353]	Time: 0.541 (0.545)	Epoch time [hr]: 0.061 (18.979)	Memory: 11.469 (16.607)	Loss: 20.8161 (9.9653)	Prec@1: 6.860 (10.568)	Prec@5: 25.195 (33.546)
Epoch: [0][410/125353]	Time: 0.541 (0.545)	Epoch time [hr]: 0.062 (18.975)	Memory: 11.469 (16.607)	Loss: 27.7990 (10.3119)	Prec@1: 3.406 (10.454)	Prec@5: 16.626 (33.195)
Epoch: [0][420/125353]	Time: 0.540 (0.545)	Epoch time [hr]: 0.064 (18.972)	Memory: 11.469 (16.607)	Loss: 12.5096 (10.5183)	Prec@1: 5.127 (10.318)	Prec@5: 36.621 (32.874)
Epoch: [0][430/125353]	Time: 0.540 (0.545)	Epoch time [hr]: 0.065 (18.969)	Memory: 11.469 (16.607)	Loss: 11.1555 (10.5554)	Prec@1: 1.306 (10.217)	Prec@5: 13.538 (32.654)
Epoch: [0][440/125353]	Time: 0.541 (0.545)	Epoch time [hr]: 0.067 (18.966)	Memory: 11.469 (16.607)	Loss: 8.4838 (10.5593)	Prec@1: 6.494 (10.118)	Prec@5: 31.384 (32.458)
Epoch: [0][450/125353]	Time: 0.540 (0.545)	Epoch time [hr]: 0.068 (18.963)	Memory: 11.469 (16.607)	Loss: 6.0308 (10.4944)	Prec@1: 5.286 (10.045)	Prec@5: 24.707 (32.320)
Epoch: [0][460/125353]	Time: 0.540 (0.545)	Epoch time [hr]: 0.070 (18.961)	Memory: 11.469 (16.607)	Loss: 4.2434 (10.3687)	Prec@1: 5.103 (10.048)	Prec@5: 37.854 (32.366)
Epoch: [0][470/125353]	Time: 0.540 (0.544)	Epoch time [hr]: 0.071 (18.958)	Memory: 11.469 (16.607)	Loss: 3.4838 (10.2293)	Prec@1: 14.856 (10.088)	Prec@5: 46.082 (32.550)
Epoch: [0][480/125353]	Time: 0.540 (0.544)	Epoch time [hr]: 0.073 (18.955)	Memory: 11.469 (16.607)	Loss: 3.4657 (10.0897)	Prec@1: 16.663 (10.150)	Prec@5: 42.139 (32.746)
Epoch: [0][490/125353]	Time: 0.540 (0.544)	Epoch time [hr]: 0.074 (18.952)	Memory: 11.469 (16.607)	Loss: 3.4965 (9.9548)	Prec@1: 16.382 (10.228)	Prec@5: 42.639 (32.942)
